Frame #,# Obj,X,Y,Z,Doppler,Intensity
157,5,0.16406,2.5645,-0.5918,0,85
157,5,0.082031,2.5664,-0.59961,0.25686,149
157,5,0.080078,2.4277,-0.9082,-0.25686,163
157,5,0.16406,2.498,-0.83008,-0.25686,286
157,5,0.083984,2.5586,-0.79688,-0.25686,185
158,13,0.080078,2.5762,-0.2832,0,164
158,13,0.082031,2.6211,-0.27734,0,201
158,13,0.16797,2.6621,-0.26758,0,117
158,13,0.080078,2.416,-0.9375,-0.77059,200
158,13,0.082031,2.4707,-0.91602,-0.77059,214
158,13,0.080078,2.4277,-0.77148,-0.51373,182
158,13,0.080078,2.4707,-0.7832,-0.51373,491
158,13,0.16406,2.5391,-0.69531,-0.51373,560
158,13,0.083984,2.5898,-0.68555,-0.51373,302
158,13,0,2.3945,-0.875,-0.25686,144
158,13,0.080078,2.5098,-0.65039,-0.25686,443
158,13,0.082031,2.5645,-0.60742,-0.25686,569
158,13,0.16797,2.6191,-0.54297,-0.25686,352
159,12,0.080078,2.457,-0.67383,0,111
159,12,0.32422,2.4961,-0.625,0,239
159,12,0.41211,2.5371,-0.5918,0,294
159,12,0.41797,2.5918,-0.53906,0,164
159,12,0.56641,2.459,-0.59766,0.25686,268
159,12,0.49414,2.5313,-0.54688,0.25686,446
159,12,0.50195,2.5977,-0.42773,0.25686,259
159,12,0.49414,2.5625,-0.37891,0.51373,182
159,12,0.16211,2.5176,-0.60352,-0.51373,169
159,12,0.23828,2.4883,-0.50195,-0.25686,230
159,12,0.080078,2.5488,-0.4668,-0.25686,325
159,12,0.082031,2.6074,-0.38086,-0.25686,228
160,8,0.31836,2.4805,-0.48828,0.25686,155
160,8,0.32422,2.5352,-0.43359,0.25686,170
160,8,0.49414,2.5703,-0.31641,0.25686,169
160,8,0.58594,2.6035,-0.25586,0.25686,137
160,8,-0.21484,2.168,-0.6875,-2.0549,154
160,8,-0.21875,2.2363,-0.61328,-2.0549,135
160,8,0.24219,2.5059,-0.61719,-0.25686,198
160,8,0.24805,2.5449,-0.64453,-0.25686,147
161,3,0.31836,2.4824,-0.48242,-0.25686,148
161,3,0.24219,2.5273,-0.52344,-0.25686,199
161,3,0.24805,2.5938,-0.4043,-0.25686,152
162,5,0.16211,2.5801,-0.20898,0,89
162,5,0.16406,2.6289,-0.11719,0,102
162,5,0.24219,2.541,-0.45703,-0.25686,146
162,5,0.16406,2.6133,-0.3125,-0.25686,180
162,5,0.16797,2.668,-0.19531,-0.25686,127
165,7,0.4043,2.0566,-0.49609,0.51373,175
165,7,0.41211,2.0996,-0.49805,0.51373,183
165,7,0.4043,2.0879,-0.34375,0.77059,294
165,7,0.41211,2.1309,-0.3457,0.77059,320
165,7,0.34961,2.1875,-0.33984,0.77059,149
165,7,0.33594,2.1191,-0.18555,1.0275,138
165,7,0.34375,2.1621,-0.20117,1.0275,159
166,10,0.51953,2.6855,-0.43359,0,96
166,10,0.32422,2.5332,-0.44531,0.25686,121
166,10,0.33008,2.5879,-0.37891,0.25686,120
166,10,0.41992,2.1289,-0.5625,0.77059,136
166,10,0.35742,2.1855,-0.56836,0.77059,120
166,10,0.49414,2.5332,-0.53906,-0.25686,128
166,10,0.58594,2.5547,-0.55859,-0.25686,162
166,10,0.51172,2.6035,-0.61914,-0.25686,177
166,10,0.60547,2.6289,-0.62695,-0.25686,173
166,10,-0.5,1.3945,1.7402,0.77059,63
167,3,0.16406,2.5508,-0.64648,0,85
167,3,0.16406,2.4434,-0.97656,-0.25686,98
167,3,-0.74219,1.7344,1.8438,-0.25686,51
168,18,0.16016,2.457,-0.66406,0,185
168,18,0.080078,2.4824,-0.74805,0,313
168,18,0.082031,2.5293,-0.74219,0,246
168,18,0.083984,2.5957,-0.66406,0,91
168,18,0.080078,2.4746,-0.60547,0.25686,295
168,18,0.080078,2.5195,-0.60742,0.25686,608
168,18,0.16406,2.5742,-0.55078,0.25686,560
168,18,0.25195,2.623,-0.49023,0.25686,252
168,18,0.080078,2.4531,-0.68555,0.51373,217
168,18,0.080078,2.5273,-0.57813,0.51373,453
168,18,0.16406,2.5898,-0.4668,0.51373,421
168,18,0.16797,2.6387,-0.43945,0.51373,194
168,18,0.080078,2.4355,-0.74609,0.77059,248
168,18,0.080078,2.5098,-0.64453,0.77059,385
168,18,0.082031,2.584,-0.52148,0.77059,266
168,18,0,2.5391,-0.5293,1.0275,141
168,18,0.57617,2.4004,-0.92578,-0.25686,120
168,18,-0.92188,1.6074,1.9375,0,47
169,9,0.16211,2.4688,-0.77539,0,120
169,9,0.082031,2.5,-0.83594,0,132
169,9,0,2.4863,-0.73828,0.25686,168
169,9,0.16406,2.5605,-0.60547,0.25686,271
169,9,0.16797,2.5938,-0.6543,0.25686,219
169,9,0.082031,2.5957,-0.45313,0.51373,170
169,9,0.083984,2.625,-0.53711,0.51373,157
169,9,0.3125,2.3828,-0.70508,-0.25686,130
169,9,0.31836,2.4316,-0.69531,-0.25686,143
170,5,0.4043,2.4883,-0.60352,0,112
170,5,0.49414,2.5313,-0.54688,0,112
170,5,0.56641,2.3926,-0.82422,-0.25686,207
170,5,0.57617,2.4492,-0.78906,-0.25686,228
170,5,0.50195,2.5391,-0.69531,-0.25686,133
199,6,0.16211,2.5352,-0.51953,0,100
199,6,0.23438,2.4941,0.056641,0.25686,173
199,6,0.23828,2.5371,-0.060547,0.25686,159
199,6,0.3125,2.4668,-0.30664,-0.25686,135
199,6,0.23828,2.4785,-0.54492,-0.25686,203
199,6,0.080078,2.4531,-0.83398,-0.25686,220
200,10,0.080078,2.5781,-0.25977,0,122
200,10,0.33008,2.5723,-0.47656,0.25686,205
200,10,0.41797,2.6172,-0.4043,0.25686,192
200,10,0.16016,2.418,-0.78906,-0.51373,153
200,10,0.16211,2.4707,-0.76953,-0.51373,217
200,10,0.16406,2.5156,-0.77539,-0.51373,167
200,10,0.080078,2.4102,-0.82422,-0.25686,194
200,10,0.16211,2.498,-0.67383,-0.25686,327
200,10,0.24805,2.5527,-0.61328,-0.25686,300
200,10,0.25195,2.5957,-0.61914,-0.25686,168
201,14,0.56641,2.418,-0.74414,0,87
201,14,0.3125,2.4844,-0.052734,0.25686,222
201,14,0.39844,2.5117,-0.1875,0.25686,274
201,14,0.48633,2.5137,-0.41211,0.25686,307
201,14,0.49414,2.5215,-0.5918,0.25686,234
201,14,-0.078125,2.4199,-0.64063,-0.77059,172
201,14,0,2.4883,-0.55469,-0.77059,146
201,14,0.16016,2.4863,-0.54297,-0.51373,154
201,14,0.16211,2.5137,-0.61328,-0.51373,128
201,14,0.3125,2.4707,-0.27148,-0.25686,141
201,14,0.23828,2.5059,-0.40234,-0.25686,206
201,14,0.4043,2.4922,-0.5918,-0.25686,186
201,14,0.49414,2.4922,-0.70703,-0.25686,116
201,14,-0.32422,1.918,1.7148,0,52
202,14,0.23438,2.4922,-0.09375,0,144
202,14,0.23828,2.5352,-0.095703,0,171
202,14,0.32422,2.5723,-0.060547,0,92
202,14,0.3125,2.4844,0.064453,0.25686,339
202,14,0.23828,2.5352,0.099609,0.25686,418
202,14,0.24219,2.5723,0.22461,0.25686,200
202,14,0.23438,2.4863,0.20898,0.51373,132
202,14,0.23828,2.5293,0.21094,0.51373,163
202,14,-0.57227,1.582,1.5469,1.798,119
202,14,-0.21094,2.1328,-0.6582,-2.0549,124
202,14,-0.21484,2.1953,-0.5957,-2.0549,156
202,14,0.47852,2.4844,-0.30664,-0.25686,120
202,14,0.28516,2.1309,-0.77734,1.798,72
202,14,-0.47852,1.2832,2.1504,-0.25686,75
203,13,0.3125,2.4688,-0.28125,0,107
203,13,0.31836,2.5195,-0.22461,0,179
203,13,0.24219,2.5742,-0.20703,0,126
203,13,0.3125,2.4844,-0.048828,0.25686,358
203,13,0.31836,2.5293,-0.035156,0.25686,516
203,13,0.24219,2.582,-0.037109,0.25686,280
203,13,0.41211,2.582,-0.3457,0.25686,151
